Name,Sport,Age,Height (cm),Weight (kg),Sex
Alexis Gonzalez,Volleyball,31,184,83,M
Alfonso Benavidez Lopez de Ayala,Canoe Sprint,21,181,84,M
Alhaji Jeng,Athletics,30,185,80,M
Ali Hasan Mahboob,Athletics,30,175,70,M
Ali Khousrof,Judo,20,170,60,M
Ali Mabrouk El Zaidi,Athletics,34,173,59,M
Ali Mohamed Al-Zinkawi,Athletics,28,195,110,M
Ali Nadhim Salman Salman,Wrestling,30,190,120,M
Ali Shabanau,Wrestling,22,170,66,M
Ali Sue Bernard,Wrestling,26,173,72,F
Ali Traore,Basketball,27,206,114,M
Alia Atkinson,Swimming,23,173,71,F
Aliaksandr Bahdanovich,Canoe Sprint,30,193,100,M
Aliaksandr Buikevich,Fencing,27,191,75,M
Aliaksandr Faminou,Equestrian,27,187,80,M
Aliaksandr Kazubouski,Rowing,30,198,108,M
Aliaksandr Kikiniou,Wrestling,32,177,74,M
Aliaksandra Herasimenia,Swimming,26,175,60,F
Aliaksei Likhacheuski,Fencing,22,189,86,M
Aliann Pompey,Athletics,34,168,55,F
Alican Kaynar,Sailing,23,191,97,M
Alice Mizzau,Swimming,19,180,65,F
Alice Nesti,Swimming,23,180,72,F
Alice Schlesinger,Judo,24,165,63,F
Alice Schmidt,Athletics,30,180,66,F
Alicia Blagg,Diving,15,167,60,F
Alicia Cebrian Martinez de Lagos,Sailing,29,168,63,F
Alicia Coutts,Swimming,24,176,69,F
Alicia Mccormack,Water Polo,29,168,72,F
Alicja Rosolska,Tennis,26,166,53,F
Alicja Tchorz,Swimming,19,177,67,F
Alim Selimau,Wrestling,29,176,84,M
Alin Alexuc-Ciurariu,Wrestling,22,191,96,M
Alin George Moldoveanu,Shooting,29,174,74,M
Alina Dumitru,Judo,29,158,48,F
Alina Lohvynenko,Athletics,22,180,68,F
Alina Talay,Athletics,23,164,54,F
Alisha Tatham,Basketball,25,180,75,F
Alison Cerutti,Beach Volleyball,26,203,110,M
Alison Williamson,Archery,40,175,75,F
Alison Young,Sailing,25,181,67,F
Alistair Brownlee,Triathlon,24,185,70,M
Alistair Davis,Shooting,19,182,72,M
Alistair Ian Cragg,Athletics,32,183,61,M
Alix Gerniers,Hockey,19,164,58,F
Alize Cornet,Tennis,22,173,60,F
Aljaz Sedej,Judo,24,177,81,M
Allan Bentsen,Table Tennis,43,182,85,M
Allan Gutierrez Castro,Swimming,18,160,50,M
Allan Norregaard,Sailing,31,173,73,M
Allegra Lapi,Water Polo,26,163,55,F
Allison Peter,Athletics,20,173,59,F
Allison Pineau,Handball,23,181,66,F
Allison Schmitt,Swimming,22,185,74,F
Allyson Felix,Athletics,26,168,55,F
Almat Kebispayev,Wrestling,24,166,60,M
Almensh Belete,Athletics,23,156,44,F
Alphas Leken Kishoyian,Athletics,18,162,56,M
Alphonsine Agahozo,Swimming,16,160,50,F
Alvaro Marinho,Sailing,36,177,67,M
Alvaro Martin,Athletics,18,182,72,M
Alvaro Rodriguez,Athletics,25,179,68,M
Alyn Camara,Athletics,23,196,85,M
Alysia Johnson Montano,Athletics,26,170,59,F
Alyssa Anderson,Swimming,21,173,64,F
Amanda Bingson,Athletics,22,165,91,F
Amanda Clark,Sailing,30,160,59,F
Amanda Furrer,Shooting,21,168,56,F
Amanda Reason,Swimming,18,178,63,F
Amanda Smock,Athletics,30,170,60,F
Amanda Weir,Swimming,26,185,75,F
Amandine Leynaud,Handball,26,178,64,F
Amanuel Mesel,Athletics,21,177,59,M
Amaury Leveaux,Swimming,26,202,92,M
Amaurys Perez,Water Polo,36,194,98,M
Amber Campbell,Athletics,31,170,91,F
Ambwene Simukonda,Athletics,28,170,70,F
Amel Khamtache,Volleyball,31,181,65,F
Amel Mekic,Judo,30,189,100,M
Amelie Caze,Modern Pentathlon,27,180,64,F
Amelie Solja,Table Tennis,21,164,65,F
Amer Hrustanovic,Wrestling,24,180,84,M
Amgad Hosen,Shooting,36,185,95,M
Amin Nikfar,Athletics,31,198,130,M
Amina Bakhit,Athletics,21,175,59,F
Amina Rouba,Rowing,25,173,59,F
Aminata Aboubakar Yacoub,Swimming,23,166,68,F
Aminath Shajan,Swimming,18,157,50,F
Amine Bannour,Handball,22,197,90,M
Amine El Manaoui,Athletics,20,186,66,M
Amine Laalou,Athletics,30,181,65,M
Amine Rzig,Basketball,31,198,95,M
Amini Fonua,Swimming,22,183,79,M
Amira Ben Amor,Athletics,26,168,49,F
Amira Ben Chaabane,Fencing,22,175,61,F
Amit Ivry,Swimming,22,170,67,F
Amor Ben Yahia,Athletics,27,176,54,M
Amr Ibrahim Mostafa Seoud,Athletics,26,180,73,M
Amy Acuff,Athletics,37,188,66,F
Amy Atkinson,Athletics,22,165,55,F
Amy Clay,Rowing,34,177,70,F
Amy Cotton,Judo,32,180,78,F
Amy Hastings,Athletics,28,163,45,F
Amy Mbacke Thiam,Athletics,35,185,80,F
Amy Oliver,Archery,25,173,62,F
Amy Sene,Athletics,26,170,65,F
Amy Smith,Swimming,25,172,59,F
Amy Tran-Swensen,Hockey,31,163,61,F
Ana Barbachan,Sailing,22,171,70,F
Ana Barros,Handball,19,173,75,F
Ana Cabecinha,Athletics,28,164,48,F
Ana Carrascosa,Judo,32,158,52,F
Ana Claudia Silva,Athletics,23,156,57,F
Ana Copado Amoros,Water Polo,32,180,70,F
Ana Dokic,Handball,33,165,60,F
Ana Dulce Felix,Athletics,29,165,52,F
Ana Gallay,Beach Volleyball,26,174,66,F
Ana Goncalves,Basketball,19,182,79,F
Ana Ivanovic,Tennis,24,173,65,F
Ana Lelas,Basketball,29,183,72,F
Ana Luiza Souza Lima,Shooting,38,171,60,F
Ana Maria Branza,Fencing,27,175,63,F
Ana Maria Rendon,Archery,26,160,63,F
Ana Satila,Canoe Slalom,16,159,58,F
Ana Simic,Athletics,22,177,58,F
Ana Subotic,Athletics,28,171,54,F
Ana Talia Betancur David,Wrestling,26,163,72,F
Anabel Balkenhol,Equestrian,40,170,67,F
Anabel Medina Garrigues,Tennis,30,169,59,F
Anabelle Smith,Diving,19,168,55,F
Anahit Barseghyan,Swimming,18,163,58,F
Anamari Velensek,Judo,21,175,77,F
Anas Mostafa,Fencing,21,182,74,M
Anaso Jobodwana,Athletics,20,187,71,M
Anastasia Chaun,Swimming,23,175,58,F
Anastasia Prokopenko,Badminton,26,171,58,F
Anastasia Savchenko,Athletics,23,171,62,F
Anastasia Zueva,Swimming,22,183,70,F
Anastasiia Kozhenkova,Rowing,26,186,73,F
Anastasiia Pozdniakova,Diving,26,162,50,F
Anastasija Grigorjeva,Wrestling,22,169,62,F
Anastasiya Juravleva,Athletics,30,175,58,F
Anastasiya Kapachinskaya,Athletics,32,178,63,F
Anastasiya Prokopenko,Modern Pentathlon,26,163,59,F
Anastasiya Shvedova,Athletics,33,174,62,F
Anastasiya Soprunova,Athletics,26,165,60,F
Anastasiya Svechnikova,Athletics,19,169,68,F
Anastassiya Bannova,Archery,23,168,56,F
Anastassiya Pilipenko,Athletics,25,175,59,F
Anatolie Ilarionovitch Guidea,Wrestling,35,165,60,M
Anca Maroiu,Fencing,28,174,68,F
Ancuta Bobocel,Athletics,24,167,49,F
Andela Bulatovic,Handball,25,175,65,F
Ander Elosegi,Canoe Slalom,24,185,80,M
Anders Eggert Jensen,Handball,30,179,79,M
Anders Golding,Shooting,28,186,95,M
Anders Lie,Swimming,21,186,70,M
Anderson Chee Wei Lim,Swimming,16,166,62,M
Anderson Nocetti,Rowing,38,188,90,M
Anderson Varejao,Basketball,29,208,115,M
Andja Jelavic,Basketball,31,172,63,F
Andrae Williams,Athletics,29,185,82,M
Andras Haklits,Athletics,34,191,120,M
Andre Ho,Table Tennis,20,170,70,M
Andre Hohne,Athletics,34,185,72,M
Andre Iguodala,Basketball,28,198,94,M
Andre Olivier,Athletics,22,192,76,M
Andre Sa,Tennis,35,186,80,M
Andre Vonarburg,Rowing,34,195,100,M
Andre Wessels,Fencing,30,192,92,M
Andrea Aldana Bennett,Sailing,23,172,68,F
Andrea Arsovic,Shooting,25,165,59,F
Andrea Baldini,Fencing,26,175,69,M
Andrea Bari,Volleyball,32,185,74,M
Andrea Barno San Martin,Handball,32,175,64,F
Andrea Blas Martinez,Water Polo,20,173,81,F
Andrea Caianiello,Rowing,24,183,73,M
Andrea Cassara,Fencing,28,192,90,M
Andrea Cedron Rodriguez,Swimming,18,169,62,F
Andrea Chiarabini,Diving,17,170,70,M
Andrea Ferris,Athletics,24,182,62,F
Andrea Foglia Costa,Sailing,26,176,69,F
Andrea Giovi,Volleyball,28,183,80,M
Andrea Hewitt,Triathlon,30,160,52,F
Andrea Hlavackova,Tennis,25,175,60,F
Andrea Mayr,Athletics,32,175,54,F
Andrea Penezic,Handball,26,186,76,F
Andrea Rolla,Swimming,22,193,80,M
Andrea Seric,Handball,27,184,82,F
Andreanne Morin,Rowing,30,177,71,F
Andreas Bube,Athletics,25,177,65,M
Andreas Cariolou,Sailing,29,181,73,M
Andreas Giglmayr,Triathlon,28,177,62,M
Andreas Ihle,Canoe Sprint,33,184,81,M
Andreas Kuffner,Rowing,25,196,93,M
Andreas Miralis,Water Polo,24,183,89,M
Andreas Nilsson,Handball,22,197,102,M
Andreas Scherhaufer,Shooting,42,197,99,M
Andreas Seppi,Tennis,28,190,75,M
Andreas Toelzer,Judo,32,192,145,M
Andreas Vojta,Athletics,23,189,77,M
Andreas Waschburger,Swimming,25,189,78,M
Andreea Chitu,Judo,24,158,52,F
Andreea Ograzeanu,Athletics,22,179,64,F
Andrei Bahdanovich,Canoe Sprint,24,195,97,M
Andrei Busila,Water Polo,31,191,92,M
Andrei Churyla,Athletics,19,190,72,M
Andrei Iosep,Water Polo,34,195,99,M
Andrei Jamsa,Rowing,30,184,93,M
Andrei Kavalenka,Shooting,57,185,88,M
Andrei Kazak,Shooting,32,178,100,M
Andrei Kirilenko,Basketball,31,206,103,M
Andrei Korshunov,Equestrian,46,185,81,M
Andrei Mikhnevich,Athletics,36,201,145,M
Andrei Moiseev,Modern Pentathlon,33,190,85,M
Andrej Gacina,Table Tennis,26,185,82,M
Andreja Klepac,Tennis,26,175,71,F
Andres Antonio Ayub Valenzuela,Wrestling,30,191,120,M
Andres Chocho,Athletics,28,165,55,M
Andres Kogovsek,Handball,38,190,92,M
Andres Mir,Hockey,25,180,75,M
Andres Nocioni,Basketball,32,202,102,M
Andres Silva,Athletics,26,179,76,M
Andrew Baddeley,Athletics,30,188,69,M
Andrew Baggaley,Table Tennis,29,180,71,M
Andrew Byrnes,Rowing,29,200,98,M
Andrew Charter,Hockey,25,182,92,M
Andrew Chetcuti,Swimming,19,177,73,M
Andrew Cronje,Hockey,28,173,76,M
Andrew Ford,Swimming,23,186,80,M
Andrew Gemmell,Swimming,21,183,73,M
Andrew Grant,Volleyball,27,207,98,M
Andrew Hayward,Hockey,27,188,88,M
Andrew Heffernan,Equestrian,37,170,68,M
Andrew Hoy,Equestrian,53,157,60,M
Andrew Lawrence,Basketball,22,188,87,M
Andrew Lewis,Sailing,22,182,81,M
Andrew McCabe,Athletics,21,188,83,M
Andrew Murdoch,Sailing,30,183,82,M
Andrew Nicholson,Equestrian,51,182,75,M
Andrew Osagie,Athletics,24,189,72,M
Andrew Pozzi,Athletics,20,190,78,M
Andrew Rutherfurd,Swimming,23,178,80,M
Andrew Simpson,Sailing,35,185,103,M
Andrew Triggs Hodge,Rowing,33,192,100,M
Andrew Wheating,Athletics,24,198,82,M
Andrew Willis,Swimming,21,188,85,M
Andrey Grechin,Swimming,24,198,94,M
Andrey Krivov,Athletics,26,185,72,M
Andrey QUINTERO,Sailing,26,185,84,M
Andrey Silnov,Athletics,27,198,84,M
Andrezey Jezierski,Canoe Sprint,32,172,78,M
Andriana Banova,Athletics,25,178,64,F
Andrii Govorov,Swimming,20,190,90,M
Andrija Prlainovic,Water Polo,25,200,106,M
Andrija Zlatic,Shooting,34,180,85,M
Andriy Kvyatkovskyy,Wrestling,22,173,71,M
Andriy Protsenko,Athletics,24,194,80,M
Andriy Pryveda,Rowing,26,193,103,M
Andriy Semenov,Athletics,28,203,125,M
Andro Buslje,Water Polo,26,200,115,M
Andy Mcmillan,Swimming,27,189,87,M
Andy Murray,Tennis,25,188,84,M
Andy Ram,Tennis,32,180,83,M
Aneta Konieczna,Canoe Sprint,34,168,73,F
Anett Meszaros,Judo,25,180,70,F
Anfisa Pochkalova,Fencing,22,178,69,F
Angel David Rodriguez,Athletics,32,178,73,M
Angel McCoughtry,Basketball,25,185,70,F
Angel Mullera,Athletics,28,178,60,M
Angela Cardoso,Basketball,33,181,77,F
Angela Figueroa,Athletics,28,163,51,F
Angela Hannah,Canoe Sprint,26,174,70,F
Angela Maurer,Swimming,37,172,60,F
Angela Morosanu,Athletics,26,181,62,F
Angela Pumariega Menendez,Sailing,27,165,60,F
Angelica Bengtsson,Athletics,19,163,50,F
Angelika Ouedraogo,Swimming,18,170,60,F
Angelina Michshuk,Shooting,24,155,54,F
Angelique Kerber,Tennis,24,172,73,F
Angelique Trinquier,Swimming,21,175,65,F
Angie Bainbridge,Swimming,22,181,67,F
Angie Winstanley - Smith,Water Polo,26,179,62,F
Aniko Kalovics,Athletics,35,175,58,F
